Sample  FOXA1 Expression (%)    Bio. Replicate 
CRE1	81.601671	1
CRE1	78.38921129	2
CRE1	89.791657	3
CRE1	80.70584546	4
CRE1	82.2466069	5
CRE2	72.679583	1
CRE2	83.45496268	2
CRE2	90.54187721	3
CRE2	82.66261907	4
CRE2	83.21592295	5
CRE3	83.143288	1
CRE3	77.67048732	2
CRE3	88.08409333	3
CRE3	89.5519938	4
CRE3	76.98189064	5
CRE1 + CRE2	55.11203928	1
CRE1 + CRE2	73.82297342	2
CRE1 + CRE2	74.04478368	3
CRE1 + CRE2	71.9474	4
CRE1 + CRE2	66.4655	5
CRE1 + CRE3	47.35231743	1
CRE1 + CRE3	69.34544318	2
CRE1 + CRE3	73.85273048	3
CRE1 + CRE3	70.6426	4
CRE1 + CRE3	68.9486	5
CRE2 + CRE3	68.26214249	1
CRE2 + CRE3	65.7285343	2
CRE2 + CRE3	84.67956445	3
CRE2 + CRE3	68.444	4
CRE2 + CRE3	65.4395	5
FOXA1 Promoter (+)	36.920737	1
FOXA1 Promoter (+)	38.25641001	2
FOXA1 Promoter (+)	42.89523106	3
FOXA1 Promoter (+)	49.15158649	4
FOXA1 Promoter (+)	44.47745055	5
Chr14 (-)	104.8033942	1
Chr14 (-)	90.46365471	2
Chr14 (-)	95.87441203	3
Chr14 (-)	98.8533	4
Chr14 (-)	91.4175	5
AAVS1 (-)	95.6082893	1
AAVS1 (-)	93.57881716	2
AAVS1 (-)	94.29131439	3
AAVS1 (-)	115.492	4
AAVS1 (-)	99.1075	5
